
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2025-04-20 13:33:40 /assets/js/kaiadmin.min.js ........................................ ~ 7.25ms
  2025-04-20 13:33:40 /assets/js/setting-demo.js ....................................... ~ 15.14ms
  2025-04-20 13:33:40 /assets/js/demo.js ............................................... ~ 17.08ms
  2025-04-20 13:33:40 /assets/img/talha.jpg ............................................. ~ 0.27ms
  2025-04-20 13:33:40 /assets/img/profile2.jpg .......................................... ~ 2.13ms
  2025-04-20 13:33:40 /assets/img/profile.jpg ........................................... ~ 3.91ms
  2025-04-20 13:33:40 /assets/fonts/fontawesome/fa-solid-900.woff2 ...................... ~ 0.33ms
  2025-04-20 13:33:40 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0 ... ~ 1.79ms
  2025-04-20 13:33:40 /assets/fonts/fontawesome/fa-regular-400.woff2 .................... ~ 0.16ms
  2025-04-20 13:33:40 /assets/fonts/fontawesome/fa-brands-400.woff2 ..................... ~ 1.26ms
  2025-04-20 13:33:40 /assets/img/kaiadmin/favicon.ico .................................. ~ 0.14ms
  2025-04-20 13:35:03 /admin/admin/tenants/28/approve ...................................... ~ 10s
  2025-04-20 13:35:14 /admin/admin/tenants .................................................. ~ 1s
  2025-04-20 13:35:15 /assets/js/plugin/webfont/webfont.min.js .......................... ~ 0.17ms
  2025-04-20 13:35:15 /assets/css/bootstrap.min.css ..................................... ~ 0.27ms
  2025-04-20 13:35:15 /assets/css/plugins.min.css ....................................... ~ 2.03ms
  2025-04-20 13:35:15 /assets/css/kaiadmin.min.css ...................................... ~ 0.14ms
  2025-04-20 13:35:15 /assets/css/demo.css .............................................. ~ 0.19ms
  2025-04-20 13:35:15 /assets/img/kaiadmin/logo_light.svg ............................... ~ 0.23ms
  2025-04-20 13:35:15 /assets/img/jm_denis.jpg .......................................... ~ 2.50ms
  2025-04-20 13:35:15 /assets/css/fonts.min.css ......................................... ~ 0.28ms
  2025-04-20 13:35:15 /assets/img/chadengle.jpg ......................................... ~ 0.51ms
  2025-04-20 13:35:15 /assets/img/mlane.jpg ............................................. ~ 0.25ms
  2025-04-20 13:35:15 /assets/js/core/jquery-3.7.1.min.js ............................... ~ 2.33ms
  2025-04-20 13:35:15 /assets/js/core/popper.min.js ..................................... ~ 0.22ms
  2025-04-20 13:35:16 /assets/js/core/bootstrap.min.js .................................. ~ 0.17ms
  2025-04-20 13:35:16 /assets/fonts/fontawesome/fa-solid-900.woff2 ...................... ~ 1.86ms
  2025-04-20 13:35:16 /assets/fonts/fontawesome/fa-regular-400.woff2 .................... ~ 0.65ms
  2025-04-20 13:35:16 /assets/fonts/fontawesome/fa-brands-400.woff2 ..................... ~ 1.95ms
  2025-04-20 13:35:16 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js ....... ~ 11.14ms
  2025-04-20 13:35:16 /assets/js/plugin/chart.js/chart.min.js .......................... ~ 13.80ms
  2025-04-20 13:35:16 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0 ... ~ 0.25ms
  2025-04-20 13:35:16 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js ........ ~ 0.61ms
  2025-04-20 13:35:16 /assets/js/plugin/chart-circle/circles.min.js ..................... ~ 0.18ms
  2025-04-20 13:35:16 /assets/js/plugin/datatables/datatables.min.js .................... ~ 0.17ms
  2025-04-20 13:35:16 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js ........ ~ 0.19ms
  2025-04-20 13:35:16 /assets/js/plugin/jsvectormap/jsvectormap.min.js .................. ~ 0.16ms
  2025-04-20 13:35:16 /assets/js/plugin/jsvectormap/world.js ............................ ~ 0.10ms
  2025-04-20 13:35:16 /assets/js/plugin/sweetalert/sweetalert.min.js .................... ~ 0.09ms
  2025-04-20 13:35:16 /assets/js/kaiadmin.min.js ........................................ ~ 0.19ms
  2025-04-20 13:35:16 /assets/js/setting-demo.js ........................................ ~ 1.22ms
  2025-04-20 13:35:16 /assets/js/demo.js ................................................ ~ 0.51ms
  2025-04-20 13:35:16 /assets/img/talha.jpg ............................................. ~ 0.20ms
  2025-04-20 13:35:16 /assets/img/profile2.jpg .......................................... ~ 3.71ms
  2025-04-20 13:35:16 /assets/img/profile.jpg .......................................... ~ 12.31ms
  2025-04-20 13:35:16 /assets/img/kaiadmin/favicon.ico .................................. ~ 0.37ms
  2025-04-20 13:37:14 /admin/admin/tenants .................................................. ~ 1s
  2025-04-20 13:37:15 /assets/js/plugin/webfont/webfont.min.js .......................... ~ 0.29ms
  2025-04-20 13:37:15 /assets/css/bootstrap.min.css ..................................... ~ 1.23ms
  2025-04-20 13:37:15 /assets/css/demo.css .............................................. ~ 2.80ms
  2025-04-20 13:37:15 /assets/img/kaiadmin/logo_light.svg ............................... ~ 5.16ms
  2025-04-20 13:37:15 /assets/css/plugins.min.css ....................................... ~ 6.47ms
  2025-04-20 13:37:15 /assets/css/kaiadmin.min.css ...................................... ~ 8.71ms
  2025-04-20 13:37:15 /assets/img/jm_denis.jpg .......................................... ~ 0.41ms
  2025-04-20 13:37:15 /assets/img/chadengle.jpg ......................................... ~ 0.38ms
  2025-04-20 13:37:15 /assets/img/mlane.jpg ............................................. ~ 0.73ms
  2025-04-20 13:37:15 /assets/js/core/jquery-3.7.1.min.js .............................. ~ 40.17ms
  2025-04-20 13:37:15 /assets/css/fonts.min.css ........................................ ~ 24.97ms
  2025-04-20 13:37:15 /assets/js/core/popper.min.js ..................................... ~ 0.34ms
