
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-04-22 23:18:30 /tenant/login ................................................... ~ 1s
  2025-04-22 23:18:31 / ......................................................... ~ 495.74ms
  2025-04-22 23:18:32 /tenant/login ................................................... ~ 1s
  2025-04-22 23:18:33 / ............................................................... ~ 1s
  2025-04-22 23:18:34 /tenant/login ................................................... ~ 1s
  2025-04-22 23:18:35 / ............................................................... ~ 1s
  2025-04-22 23:18:35 /casisang-pageant/logout ........................................ ~ 2s
  2025-04-22 23:18:37 /tenant/login ............................................. ~ 509.85ms
  2025-04-22 23:18:37 /tenant/login ................................................... ~ 1s
  2025-04-22 23:18:38 /build/assets/app-DbTWgVAB.css .............................. ~ 0.34ms
  2025-04-22 23:18:38 /build/assets/app-Bo-u61x1.js ............................... ~ 3.50ms
  2025-04-22 23:18:38 /build/assets/app-DbTWgVAB.css .............................. ~ 2.66ms
  2025-04-22 23:18:38 /build/assets/app-Bo-u61x1.js ............................... ~ 1.83ms
  2025-04-22 23:18:39 /favicon.ico ................................................ ~ 0.21ms
  2025-04-22 23:18:39 /favicon.ico ................................................ ~ 0.14ms
  2025-04-22 23:18:48 / ............................................................... ~ 1s
  2025-04-22 23:18:49 /tenant/login ................................................... ~ 1s
  2025-04-22 23:18:50 /build/assets/app-DbTWgVAB.css .............................. ~ 0.23ms
  2025-04-22 23:18:50 /build/assets/app-Bo-u61x1.js ............................... ~ 1.46ms
  2025-04-22 23:18:52 /favicon.ico ................................................ ~ 0.20ms
  2025-04-22 23:21:40 / ......................................................... ~ 512.61ms
  2025-04-22 23:21:41 /tenant/login ................................................... ~ 1s
  2025-04-22 23:22:07 / ............................................................... ~ 1s
  2025-04-22 23:22:08 /tenant/login ................................................... ~ 1s
  2025-04-22 23:22:10 /build/assets/app-DbTWgVAB.css .............................. ~ 0.41ms
  2025-04-22 23:22:10 /build/assets/app-Bo-u61x1.js ............................... ~ 7.30ms
  2025-04-22 23:22:10 /favicon.ico ................................................ ~ 0.31ms
  2025-04-22 23:22:16 /tenant/login ................................................... ~ 2s
  2025-04-22 23:22:18 /casisang-pageant/dashboard ..................................... ~ 7s
  2025-04-22 23:23:53 /casisang-pageant/dashboard ..................................... ~ 5s
  2025-04-22 23:23:53 ............................................................. ~ 1m 57s
  2025-04-22 23:26:01 /favicon.ico ................................................ ~ 1.10ms
  2025-04-22 23:26:02 /tenant/login ................................................... ~ 1s
  2025-04-22 23:26:02 / ............................................................... ~ 2s
  2025-04-22 23:26:04 /tenant/login ................................................... ~ 1s
  2025-04-22 23:26:05 / ............................................................... ~ 1s
  2025-04-22 23:26:06 /tenant/login ............................................. ~ 523.73ms
